# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.4715000,-1.4715000,-1.4677484,39587.8398862,23580.9330345,187460.9167261,1352.6117858,130675.7640768,39587.8398862,39587.8398862,46667.6817727,29515.2335043,39587.8398862,23580.9330345,187460.9167261,1336.9706865,130675.7640768,39587.8398862,39587.8398862,46667.6817727,29515.2335043
-1.4665000,-1.4665000,-1.4627484,40360.1341691,24045.4196836,191062.9490004,1382.7694488,133188.4738568,40360.1341691,40360.1341691,47578.0922405,30091.0276411,40360.1341691,24045.4196836,191062.9490004,1367.1283494,133188.4738568,40360.1341691,40360.1341691,47578.0922405,30091.0276411
-1.4615000,-1.4615000,-1.4577484,42684.4749331,25443.3932792,201903.4824627,1473.5594090,140750.6370611,42684.4749331,42684.4749331,50318.1153237,31823.9703980,42684.4749331,25443.3932792,201903.4824627,1457.9183096,140750.6370611,42684.4749331,42684.4749331,50318.1153237,31823.9703980
-1.4565000,-1.4565000,-1.4527484,46581.4304972,27787.3068096,220077.4323641,1625.8601571,153428.4984606,46581.4304972,46581.4304972,54911.9977550,34729.3967552,46581.4304972,27787.3068096,220077.4323641,1610.2190577,153428.4984606,46581.4304972,46581.4304972,54911.9977550,34729.3967552
-1.4515000,-1.4515000,-1.4477484,52079.2779631,31094.2974970,245715.0776159,1840.8946204,171312.9914138,52079.2779631,52079.2779631,61393.0736792,38828.3890769,52079.2779631,31094.2974970,245715.0776159,1825.2538534,171312.9914138,52079.2779631,52079.2779631,61393.0736792,38828.3890769
-1.4465000,-1.4465000,-1.4427484,59205.0771666,35380.8075799,278940.5617882,2104.2323404,194490.7845505,59205.0771666,59205.0771666,69793.2422804,44141.1221788,59205.0771666,35380.8075799,278940.5617882,2104.2323404,194490.7845505,59205.0771666,59205.0771666,69793.2422804,44141.1221788
-1.4415000,-1.4415000,-1.4377484,63456.5899647,37932.3816000,298837.0599779,2265.2773719,208367.9817403,63456.5899647,63456.5899647,74805.0905370,47310.8933344,63456.5899647,37932.3816000,298837.0599779,2265.2773719,208367.9817403,63456.5899647,63456.5899647,74805.0905370,47310.8933344
-1.4365000,-1.4365000,-1.4327484,64656.9739622,38663.7219852,304319.9770634,2320.7252997,212196.5958251,64656.9739622,64656.9739622,76220.1497714,48205.8553753,64656.9739622,38663.7219852,304319.9770634,2320.7252997,212196.5958251,64656.9739622,64656.9739622,76220.1497714,48205.8553753
-1.4315000,-1.4315000,-1.4277484,57998.0952394,34657.5982781,273277.6321473,2059.5805126,190541.5408793,57998.0952394,57998.0952394,68370.4051505,43241.2409648,57998.0952394,34657.5982781,273277.6321473,2059.5805126,190541.5408793,57998.0952394,57998.0952394,68370.4051505,43241.2409648
-1.4265000,-1.4265000,-1.4227484,54831.3897356,32753.5530732,258501.3700523,1936.4064857,180234.1156204,54831.3897356,54831.3897356,64637.3698259,40880.2621225,54831.3897356,32753.5530732,258501.3700523,1936.4064857,180234.1156204,54831.3897356,54831.3897356,64637.3698259,40880.2621225
-1.4215000,-1.4215000,-1.4177484,46840.5450097,27958.8750016,221091.9743301,1646.9213303,154142.6498607,46840.5450097,46840.5450097,55217.4519967,34922.5829801,46840.5450097,27958.8750016,221091.9743301,1634.7053012,154142.6498607,46840.5450097,46840.5450097,55217.4519967,34922.5829801
