"AtomID","AtomName","AtomType","x[nm]","y[nm]","z[nm]","charge[e]","mass[AMU]","sigma[nm]","epsilon[kJ/mol]"
"1","CC31621","CC3162",0.0125,-0.0018,-0.016800000000000002,0.34,12.011,0.356359487256,0.13389
"2","HCA12","HCA1",0.009,-0.1091,-0.0466,0.09,1.008,0.238760856462,0.18828
"3","OC3113","OC311",-0.06330000000000001,0.0104,0.1007,-0.65,15.9994,0.314487247504,0.80375
"4","HCP14","HCP1",-0.0002,-0.013800000000000002,0.1706,0.42,1.008,0.040001352445,0.19246
"5","CC31635","CC3163",-0.013000000000000001,0.2197,-0.127,0.11,12.011,0.356359487256,0.13389
"6","HCA16","HCA1",-0.0736,0.2663,-0.044800000000000006,0.09,1.008,0.238760856462,0.18828
"7","OC3C617","OC3C61",-0.0403,0.07640000000000001,-0.129,-0.4,15.9994,0.293996576986,0.4184
"8","CC31618","CC3161",0.1584,0.0293,0.0206,0.14,12.011,0.356359487256,0.13389
"9","HCA19","HCA1",0.22400000000000003,-0.0057,-0.0615,0.09,1.008,0.238760856462,0.18828
"10","OC31110","OC311",0.20450000000000002,-0.040400000000000005,0.1384,-0.65,15.9994,0.314487247504,0.80375
"11","HCP111","HCP1",0.29860000000000003,-0.0596,0.1288,0.42,1.008,0.040001352445,0.19246
"12","CC316112","CC3161",0.16290000000000002,0.1804,0.0348,0.14,12.011,0.356359487256,0.13389
"13","HCA113","HCA1",0.07980000000000001,0.2094,0.1035,0.09,1.008,0.238760856462,0.18828
"14","OC31114","OC311",0.2792,0.2377,0.09280000000000001,-0.65,15.9994,0.314487247504,0.80375
"15","HCP115","HCP1",0.2505,0.3173,0.1395,0.42,1.008,0.040001352445,0.19246
"16","CC316116","CC3161",0.135,0.23820000000000002,-0.09960000000000001,0.14,12.011,0.356359487256,0.13389
"17","HCA117","HCA1",0.15710000000000002,0.34820000000000007,-0.097,0.09,1.008,0.238760856462,0.18828
"18","OC31118","OC311",0.20990000000000003,0.1804,-0.20710000000000003,-0.65,15.9994,0.314487247504,0.80375
"19","HCP119","HCP1",0.2993,0.2157,-0.21280000000000002,0.42,1.008,0.040001352445,0.19246
"20","CC32120","CC321",-0.0391,0.2941,-0.258,0.05,12.011,0.358141284692,0.2343
"21","HCA221","HCA2",-0.044700000000000004,0.22410000000000002,-0.34400000000000003,0.09,1.008,0.238760856462,0.14644
"22","HCA222","HCA2",0.048100000000000004,0.36050000000000004,-0.2766,0.09,1.008,0.238760856462,0.14644
"23","OC31123","OC311",-0.1486,0.38620000000000004,-0.2598,-0.65,15.9994,0.314487247504,0.80375
"24","HCP124","HCP1",-0.1328,0.4483,-0.3328,0.42,1.008,0.040001352445,0.19246
