# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
0.0000000,0.0000000,-0.0534502,255622.5249479
0.0100000,0.0100000,-0.0434502,239643.8053703
0.0200000,0.0200000,-0.0334502,211355.3052554
0.0300000,0.0300000,-0.0234502,176627.5937343
0.0400000,0.0400000,-0.0134502,140520.3597281
0.0500000,0.0500000,-0.0034502,107015.5167591
0.0600000,0.0600000,0.0065498,78479.1126228
0.0700000,0.0700000,0.0165498,55751.7895002
0.0800000,0.0800000,0.0265498,38588.2949308
0.0900000,0.0900000,0.0365498,26160.3416155
0.1000000,0.1000000,0.0465498,17452.8408525
0.1100000,0.1100000,0.0565498,11504.8416188
0.1200000,0.1200000,0.0665498,7518.7455515
0.1300000,0.1300000,0.0765498,4884.5151896
0.1400000,0.1400000,0.0865498,3160.6724207
0.1500000,0.1500000,0.0965498,2039.8856944
0.1600000,0.1600000,0.1065498,1337.9115968
0.1700000,0.1700000,0.1165498,868.7261798
0.1800000,0.1800000,0.1265498,565.5866432
0.1900000,0.1900000,0.1365498,369.4721697
0.2000000,0.2000000,0.1465498,241.9755505
0.2100000,0.2100000,0.1565498,158.2523626
0.2200000,0.2200000,0.1665498,102.8734848
0.2300000,0.2300000,0.1765498,66.0804867
0.2400000,0.2400000,0.1865498,41.4888270
0.2500000,0.2500000,0.1965498,24.8171968
0.2600000,0.2600000,0.2065498,13.2441063
0.2700000,0.2700000,0.2165498,5.2129780
0.2800000,0.2800000,0.2265498,-0.1729765
0.2900000,0.2900000,0.2365498,-3.6111977
0.3000000,0.3000000,0.2465498,-5.6656451
0.3100000,0.3100000,0.2565498,-6.7736672
0.3200000,0.3200000,0.2665498,-7.2574373
0.3300000,0.3300000,0.2765498,-7.3430987
0.3400000,0.3400000,0.2865498,-7.1839239
0.3500000,0.3500000,0.2965498,-6.8813988
0.3600000,0.3600000,0.3065498,-6.5015895
0.3700000,0.3700000,0.3165498,-6.0868429
0.3800000,0.3800000,0.3265498,-5.6638079
0.3900000,0.3900000,0.3365498,-5.2488193
0.4000000,0.4000000,0.3465498,-4.8514761
0.4100000,0.4100000,0.3565498,-4.4770091
0.4200000,0.4200000,0.3665498,-4.1278444
0.4300000,0.4300000,0.3765498,-3.8046347
0.4400000,0.4400000,0.3865498,-3.5069381
0.4500000,0.4500000,0.3965498,-3.2336648
0.4600000,0.4600000,0.4065498,-2.9833674
0.4700000,0.4700000,0.4165498,-2.7544297
0.4800000,0.4800000,0.4265498,-2.5451867
0.4900000,0.4900000,0.4365498,-2.3539987
0.5000000,0.5000000,0.4465498,-2.1792964
0.5100000,0.5100000,0.4565498,-2.0196053
0.5200000,0.5200000,0.4665498,-1.8735576
0.5300000,0.5300000,0.4765498,-1.7398960
0.5400000,0.5400000,0.4865498,-1.6174721
0.5500000,0.5500000,0.4965498,-1.5052416
0.5600000,0.5600000,0.5065498,-1.4022581
0.5700000,0.5700000,0.5165498,-1.3076659
0.5800000,0.5800000,0.5265498,-1.2206922
0.5900000,0.5900000,0.5365498,-1.1406399
0.6000000,0.6000000,0.5465498,-1.0668804
0.6100000,0.6100000,0.5565498,-0.9988472
0.6200000,0.6200000,0.5665498,-0.9360295
0.6300000,0.6300000,0.5765498,-0.8779664
0.6400000,0.6400000,0.5865498,-0.8242423
0.6500000,0.6500000,0.5965498,-0.7744816
0.6600000,0.6600000,0.6065498,-0.7283454
0.6700000,0.6700000,0.6165498,-0.6855268
0.6800000,0.6800000,0.6265498,-0.6457483
0.6900000,0.6900000,0.6365498,-0.6087584
0.7000000,0.7000000,0.6465498,-0.5743291
0.7100000,0.7100000,0.6565498,-0.5422534
0.7200000,0.7200000,0.6665498,-0.5123433
0.7300000,0.7300000,0.6765498,-0.4844279
0.7400000,0.7400000,0.6865498,-0.4583513
0.7500000,0.7500000,0.6965498,-0.4339719
0.7600000,0.7600000,0.7065498,-0.4111601
0.7700000,0.7700000,0.7165498,-0.3897977
0.7800000,0.7800000,0.7265498,-0.3697769
0.7900000,0.7900000,0.7365498,-0.3509987
0.8000000,0.8000000,0.7465498,-0.3333726
0.8100000,0.8100000,0.7565498,-0.3168157
0.8200000,0.8200000,0.7665498,-0.3012518
0.8300000,0.8300000,0.7765498,-0.2866110
0.8400000,0.8400000,0.7865498,-0.2728289
0.8500000,0.8500000,0.7965498,-0.2598464
0.8600000,0.8600000,0.8065498,-0.2476091
0.8700000,0.8700000,0.8165498,-0.2360665
0.8800000,0.8800000,0.8265498,-0.2251726
0.8900000,0.8900000,0.8365498,-0.2148843
0.9000000,0.9000000,0.8465498,-0.2051621
0.9100000,0.9100000,0.8565498,-0.1959695
0.9200000,0.9200000,0.8665498,-0.1872725
0.9300000,0.9300000,0.8765498,-0.1790397
0.9400000,0.9400000,0.8865498,-0.1712422
0.9500000,0.9500000,0.8965498,-0.1638527
0.9600000,0.9600000,0.9065498,-0.1568464
0.9700000,0.9700000,0.9165498,-0.1501997
0.9800000,0.9800000,0.9265498,-0.1438911
