# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,2901008.4662089,156279805.4864477,99375579.7553342,642356154.4144250,9137944.4710017,451604614.2604421,156279686.6579545,156279924.3149408,184228698.7847513,116516459.7057816,3311366288.0005827
0.0025000,0.0025000,0.0025000,inf,nan,2777536.3903521,102858627.0442230,65406987.7460916,422761325.6264265,6014788.3551436,297220565.0976371,102858500.7384109,102858753.3500352,121253740.7514659,76687599.1180418,2179355016.9702988
0.0050000,0.0050000,0.0050000,inf,nan,2332744.4461492,68839905.8982767,43775747.7086852,282922563.8650402,4026006.8971718,198908262.8660986,68839772.8367998,68840038.9597536,81151152.2466287,51324495.1692874,1458486295.6382835
0.0075000,0.0075000,0.0075000,inf,nan,1973691.2088030,46848312.0905826,29792123.4827138,192522949.4344581,2740379.4351448,135353675.7440504,46848172.9433613,46848451.2378039,55226608.1330541,34928373.8292060,992476314.0592740
0.0100000,0.0100000,0.0100000,inf,nan,1894535.6626481,32428736.8423812,20623258.2547623,133249327.9161314,1897428.8013508,93681910.7553656,32428592.2325072,32428881.4522553,38228253.3121216,24177670.2872360,686920725.2282586
0.0125000,0.0125000,0.0125000,inf,nan,2084911.7147077,22846340.8242680,14530161.5403908,93859831.2132116,1337260.2927584,65989478.8855362,22846191.3320241,22846490.3165119,26932153.0631981,17033389.1943973,483867693.6783720
0.0150000,0.0150000,0.0150000,inf,nan,2591743.3336290,16396861.8638019,10429154.9060315,67348850.7889464,960235.6639911,47351155.1367647,16396708.0299628,16397015.6976411,19329257.0074481,12224895.5244612,347203320.3250462
0.0175000,0.0175000,0.0175000,inf,nan,3534689.0188304,12003287.2762028,7635408.3577585,49289130.4247580,703390.8897366,34654401.8811786,12003129.6047502,12003444.9476554,14149940.8010600,8949208.3375794,254105124.0165347
0.0200000,0.0200000,0.0200000,inf,nan,5145427.2260160,8976128.9654514,5710506.7983126,36846358.4775903,526419.7663654,25906586.9382921,8975967.9258151,8976290.0050877,10581409.1224514,6692270.7362060,189962261.1546144
0.0225000,0.0225000,0.0225000,inf,nan,7848139.4510036,6868749.1743607,4370456.3222724,28184471.7696549,403215.1021936,19816887.9561167,6868585.2032740,6868913.1454475,8097148.0527025,5121086.0796274,145309865.6531493
