# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,84501707.4873976,69026232.6406392,44952863.1621392,268406588.3759317,4748580.4941061,189358424.9971706,3162972841.5309939,30890544574.5757141,209539914501.6572876
0.0025000,0.0025000,0.0025000,inf,nan,77357560.6500282,47201852.8811992,30739562.4797951,183548261.9517764,3246811.9646786,129491481.7743453,2163109873.4839230,21126548677.6024284,143313258397.7107849
0.0050000,0.0050000,0.0050000,inf,nan,113547807.0344499,32749276.4530897,21327258.7031946,127352568.9832003,2252356.9853117,89845849.8164104,1500954254.2701139,14660249454.2919121,99453291461.1578369
0.0075000,0.0075000,0.0075000,inf,nan,191262355.2550548,23061118.3246757,15017844.6187135,89681729.9097042,1585771.5275695,63269383.6165700,1057063665.3167905,10325315963.7795029,70049451955.5711975
0.0100000,0.0100000,0.0100000,inf,nan,58475452.0750665,16492575.3708771,10740113.6716357,64140563.6865315,1133859.5434197,45250320.2426528,756090357.0457006,7385989918.6574287,50111496613.9312134
0.0125000,0.0125000,0.0125000,inf,nan,28164719.0882561,11991635.4387433,7808925.9343031,46638713.2780866,824222.4024601,32902937.2395858,549841622.4019042,5371675608.7307510,36447623522.6679382
0.0150000,0.0150000,0.0150000,inf,nan,23663537.3504296,8876604.1496542,5780317.8821119,34525652.6886959,609947.4391707,24357304.8178873,407088640.9771789,3977425890.0918775,26989528361.0197411
0.0175000,0.0175000,0.0175000,inf,nan,30335141.3446871,6700273.2256327,4363039.2858554,26062562.4067961,460259.5607820,18386696.8850626,307344225.5367163,3003183464.5972247,20380314439.9574203
0.0200000,0.0200000,0.0200000,inf,nan,48003311.5110978,5165828.1056932,3363786.3932421,20095371.0177733,354733.7708156,14176923.7161415,237010661.1882225,2316165493.0751386,15719370030.2694263
0.0225000,0.0225000,0.0225000,inf,nan,63727485.9146370,3977809.5462571,2589933.9486819,15478551.4079882,272944.5756018,10919655.9271768,182709672.6955354,1786837722.2643983,12134735500.2839298
0.0250000,0.0250000,0.0250000,inf,nan,76201663.1655185,3070995.8690170,1999423.1013700,11951827.7453324,210601.0652708,8431610.6672593,141133708.1722934,1380664460.4360459,9378785123.6082230
0.0275000,0.0275000,0.0275000,inf,nan,78415045.1997300,2400324.1855563,1562697.0467169,9343332.6508655,164501.9574350,6591367.0157724,110378011.6350187,1080161013.8482447,7339599036.3839149
0.0300000,0.0300000,0.0300000,inf,nan,43562531.1660958,1899552.8153932,1236615.2509745,7395506.6842445,130089.1947818,5217218.4108616,87408033.4072245,855696127.2096722,5816209208.7339821
0.0325000,0.0325000,0.0325000,inf,nan,26841966.7928546,1522072.1469822,990822.8503760,5927122.4335819,104155.7102805,4181310.0896004,70088552.7058030,686420148.9138259,4667207123.5562811
0.0350000,0.0350000,0.0350000,inf,nan,19550254.9025285,1234863.2940616,803816.1234380,4809795.1171244,84429.6680399,3393067.4514304,56906930.2353982,557562682.0143989,3792415504.0722923
0.0375000,0.0375000,0.0375000,inf,nan,18147453.7125648,982465.0884329,639479.5890486,3827787.8569606,67103.8575854,2700291.7415594,45317388.5011368,444212069.1722673,3022477780.3107595
0.0400000,0.0400000,0.0400000,inf,nan,21830613.9045641,787560.3195694,512569.5187737,3069593.0456451,53717.6243318,2165403.3451733,36373983.5543817,356794987.1157514,2429058029.9401007
0.0425000,0.0425000,0.0425000,inf,nan,18749005.3304328,637102.0202603,414600.1683458,2484289.3282203,43385.4157627,1752485.1287241,29469673.8661982,289305736.5829340,1970890106.2777750
0.0450000,0.0450000,0.0450000,inf,nan,12012453.6690418,520452.1522844,338643.5192536,2030513.1290961,35375.3821888,1432355.3843060,24117104.4728836,236985396.0704613,1615696910.9446499
0.0475000,0.0475000,0.0475000,inf,nan,8443689.7705227,429697.6551992,279546.1942587,1677496.4309226,29143.1554054,1183307.4882162,19953765.6128383,196294174.0872675,1339470175.5244448
0.0500000,0.0500000,0.0500000,inf,nan,6859090.1982046,358919.9080189,233453.6826003,1402226.3724130,24281.5766652,989106.0124569,16708528.8307250,164584658.2715293,1124254404.3440754
0.0525000,0.0525000,0.0525000,inf,nan,6785876.4255275,303668.0818954,197467.3527829,1187397.5932908,20484.4560988,837542.1149987,14177522.9023156,139866263.1286706,956549347.7850928
0.0550000,0.0550000,0.0550000,inf,nan,8255386.2623005,260577.4709513,169395.8849729,1019928.2661555,17520.3092368,719386.6081776,12206650.8052839,120634523.4060338,826152269.1458000
0.0575000,0.0575000,0.0575000,inf,nan,11835436.0724515,227091.4383257,147574.1847492,889878.9907065,15213.2241064,627627.2444614,10678852.9011362,105746730.3930731,725314511.7969974
0.0600000,0.0600000,0.0600000,inf,nan,14166525.7488577,201257.7928197,130730.7713180,789661.0761841,13428.8505092,556910.1642807,9504779.3658902,94330855.9045039,648123820.2090448
0.0625000,0.0625000,0.0625000,inf,nan,9592204.4625689,181578.9044042,117890.1644485,713453.7589191,12064.0875780,503128.7467769,8615923.9518946,85718507.5989950,590049633.8942065
0.0650000,0.0650000,0.0650000,inf,nan,7358636.4585645,162941.0011612,105508.4815093,645242.9535513,10672.3638977,454791.1687872,7959543.8039892,79395321.5157023,547606629.3960730
0.0675000,0.0675000,0.0675000,inf,nan,6738378.1351023,141096.3483176,91266.2473745,560146.2189434,9162.5330226,394756.5755388,6960894.1744666,70996782.9377929,498933870.6016168
0.0700000,0.0700000,0.0700000,inf,nan,7544067.2611002,122326.6640857,79049.8552740,486973.5776202,7880.0174481,343139.6745713,6091419.8083313,62431352.4853273,440351807.2415687
0.0725000,0.0725000,0.0725000,inf,nan,10051356.6711631,107226.0858455,69219.2451579,428122.5122883,6847.3883088,301623.9921574,5392369.1122341,55544067.9175044,393231240.7091967
0.0750000,0.0750000,0.0750000,inf,nan,11581061.0361009,95075.6765022,61306.1606990,380798.6836315,6015.1831875,268238.0870658,4830865.3613487,50014352.2285405,355400631.0370529
0.0775000,0.0775000,0.0775000,inf,nan,7564941.8599593,85306.4023617,54940.0118209,342789.9492502,5344.2748466,241421.2862371,4380868.5216276,45588183.6124880,325138653.8352692
0.0800000,0.0800000,0.0800000,inf,nan,5764677.8321915,77466.1937448,49826.4228532,312338.2911385,4803.6053680,219933.3301845,4021666.6766360,42063370.1900774,301074367.1483760
0.0825000,0.0825000,0.0825000,inf,nan,5373576.3994579,71194.4527689,45730.6305442,288040.7017963,4368.4326022,202784.4484004,3736708.7292139,39278157.9133011,282109989.3933704
0.0850000,0.0850000,0.0850000,inf,nan,6160222.5219246,66202.2694527,42464.5995237,268772.2673696,4018.9692860,189181.0945358,3512698.6834059,37102393.1380518,267361006.2102458
0.0875000,0.0875000,0.0875000,inf,nan,8308057.9317380,62257.0252584,39876.9949824,253626.3118067,3739.3239381,178483.7179373,3338890.9813742,35430648.6837031,256109595.4329953
0.0900000,0.0900000,0.0900000,inf,nan,12474883.6427958,59170.3788209,37845.3578628,241867.6937396,3516.6743372,170173.8142574,3206540.8512553,34176863.7457798,247768320.2395231
0.0925000,0.0925000,0.0925000,inf,nan,20097518.8426332,56788.8674475,36269.9833722,232896.2768574,3340.6208115,163828.1532742,3108474.5826842,33270155.1863200,241851768.0824566
0.0950000,0.0950000,0.0950000,inf,nan,34146848.3405688,54986.5390186,35069.1215161,226218.2988564,3202.6790099,159098.5789335,3038752.9573668,32651538.9875721,237954364.7896383
0.0975000,0.0975000,0.0975000,inf,nan,60913434.7956660,53659.1663989,34175.2078651,221423.8988430,3095.8812789,155696.1539032,2992407.3721819,32271362.3550000,235733012.1961575
0.1000000,0.1000000,0.1000000,inf,nan,114410462.1859979,52719.7009781,33531.9008266,218169.4695820,3014.4629519,153378.7077187,2965232.9874208,32087293.8317830,234893515.9280384
0.1025000,0.1025000,0.1025000,inf,nan,78042354.7103408,52094.7014716,33091.7534700,216163.8101461,2953.6153346,151941.0657097,2953626.8766883,32062754.3879504,235180011.5524251
0.1050000,0.1050000,0.1050000,inf,nan,46424261.3869892,51721.5345864,32814.3873531,215157.2895393,2909.2913321,151207.4017053,2954461.9210591,32165699.4405632,236366780.3239445
0.1075000,0.1075000,0.1075000,inf,nan,29116321.3201341,51546.1901064,32665.0657340,214933.4102624,2709.7791093,151025.2833857,2964989.2845934,32367682.1613406,238251983.8548495
0.1100000,0.1100000,0.1100000,inf,nan,19754923.2911384,51521.5877788,32613.5862675,215302.2958185,2421.2233113,151261.0744277,2982763.8878311,32643143.7656080,240652950.6110033
0.1125000,0.1125000,0.1125000,inf,nan,15398430.3200747,48566.5862209,29764.9561060,216095.7279519,2164.9427652,151796.4294310,3005588.4801573,32968887.9246127,243402724.1654820
0.1150000,0.1150000,0.1150000,inf,nan,15179125.3351140,43824.7142182,26843.2416092,198881.9242517,1936.8909560,139023.9217166,3031472.7934307,33323704.9110251,246347639.8232893
0.1175000,0.1175000,0.1175000,inf,nan,18670367.0339664,39531.0055847,24203.0009034,179661.1662668,1733.6597480,125583.4615685,2999477.7378443,33688117.2879917,249345737.4434498
0.1200000,0.1200000,0.1200000,inf,nan,19411977.7522064,35644.8558654,21817.5973167,162195.1225237,1552.3491021,113372.7779832,2712616.7441835,33674794.6478916,252265847.9262270
0.1225000,0.1225000,0.1225000,inf,nan,22654279.3110194,32129.9859538,19663.4055772,146342.7487848,1390.4666835,102292.3649326,2450657.9175026,30434022.9817720,244916275.9587347
0.1250000,0.1250000,0.1250000,inf,nan,14346502.7849712,28953.5788799,17719.2182703,131973.8447306,1245.8507070,92250.4931978,2211977.2459386,27473557.6229624,221087812.1756334
0.1275000,0.1275000,0.1275000,inf,nan,9859423.1031409,26085.6705224,15965.8184605,118967.1747113,1116.6106984,83161.8608834,1994982.3537435,24776345.3722717,199352357.4820414
0.1300000,0.1300000,0.1300000,inf,nan,8182214.5437752,23498.7248743,14385.6742603,107209.2779949,1001.0819433,74946.7317265,1798114.5218693,22325131.3711848,179580711.8146637
0.1325000,0.1325000,0.1325000,inf,nan,10057696.2507110,21167.3399156,12962.7208941,96593.7478348,897.7903015,67530.4060415,1619854.8787843,20102653.8802754,161641263.5980776
0.1350000,0.1350000,0.1350000,inf,nan,20240479.5103696,19068.0429394,11682.2038882,87020.8124462,805.4248011,60842.9068814,1458732.5554297,18091843.6849923,145402057.3751146
0.1375000,0.1375000,0.1375000,inf,nan,31042633.9474436,17179.1446548,10530.5636251,78397.0951275,722.8160260,54818.7949723,1313333.2373094,16276011.7238534,130732688.1588971
0.1400000,0.1400000,0.1400000,inf,nan,50371176.9976687,15480.6298055,9495.3468073,70635.4663086,648.9187894,49397.0509232,1182307.0627565,14639014.4609188,117505950.1404034
0.1425000,0.1425000,0.1425000,inf,nan,29387383.7538749,13954.0686909,8565.1345675,63654.9283180,582.7979658,44520.9828666,1064375.2217378,13165391.1700329,105599202.9975343
0.1450000,0.1450000,0.1450000,inf,nan,18108337.0969003,12582.5391062,7729.4802048,57380.4951901,523.6166513,40138.1327998,958334.9179291,11840470.8094976,94895445.8495162
0.1475000,0.1475000,0.1475000,inf,nan,12056442.8893007,11350.5520833,6978.8519788,51743.0459088,467.8584661,36200.1661843,863062.5826344,10650448.7040647,85284108.1033757
0.1500000,0.1500000,0.1500000,inf,nan,9064529.0417021,10243.9776386,6304.5781944,46679.1410776,417.9547954,32662.7375128,777515.3866482,9582434.9808640,76661579.3150829
0.1525000,0.1525000,0.1525000,inf,nan,8156071.4284397,9249.9687309,5698.7930958,42130.8010014,373.5593393,29485.3301840,700731.1987816,8624477.7851647,68931507.9705308
0.1550000,0.1550000,0.1550000,inf,nan,9091605.2024841,8356.8829734,5154.3829636,38045.2483516,334.0632010,26631.0726801,631827.1996267,7765564.8756784,62004902.9214514
0.1575000,0.1575000,0.1575000,inf,nan,10089165.0858382,7554.2024902,4664.9323753,34374.6216321,298.9183615,24066.5352088,569997.3868480,6995607.3951775,55800072.0986620
0.1600000,0.1600000,0.1600000,inf,nan,10789263.8410268,6832.4527822,4224.6709222,31075.6671439,267.6332167,21761.5120305,514509.2128168,6305409.5390830,50242431.9304943
0.1625000,0.1625000,0.1625000,inf,nan,6816202.1980838,6183.1216846,3828.4208439,28109.4175235,239.7681763,19688.7949799,464699.5841273,5686627.5914944,45264218.3256058
0.1650000,0.1650000,0.1650000,inf,nan,5000124.1175648,5598.5795265,3471.5460943,25440.8645654,214.9313562,17823.9434582,419970.4312675,5131721.4356180,40804126.6981036
0.1675000,0.1675000,0.1675000,inf,nan,4496638.7438822,5072.0015259,3149.9033294,23038.6332262,205.1218285,16145.0556222,379784.0299529,4633901.2278235,36806904.7480089
0.1700000,0.1700000,0.1700000,inf,nan,5038184.0016327,4597.2933004,2859.7952414,20874.6626491,185.3282655,14632.5447739,343658.2266773,4187071.4913792,33222917.8756286
0.1725000,0.1725000,0.1725000,inf,nan,6756389.7517360,4169.0201945,2597.9265706,18923.8989015,167.6284286,13268.9241633,311161.6922272,3785774.4650950,30007703.4225061
0.1750000,0.1750000,0.1750000,inf,nan,10234555.6788209,3782.3409351,2361.3630332,17164.0029867,151.7803536,12038.6026446,281909.2998009,3425134.1517765,27121526.5351162
0.1775000,0.1775000,0.1775000,inf,nan,12047721.0340498,3432.9459474,2147.4933013,15575.0766411,137.5705047,10927.6928943,255557.6999228,3100802.1622297,24528947.4210639
0.1800000,0.1800000,0.1800000,inf,nan,7595876.2857053,3117.0004995,1953.9940909,14139.4075013,124.8107509,9923.8332673,231801.1430182,2808906.1475670,22198407.1469413
0.1825000,0.1825000,0.1825000,inf,nan,4953291.2496164,2831.0927094,1778.7983355,12841.2344338,113.3356298,9016.0238165,210367.5824920,2546001.3567282,20101836.9156275
0.1850000,0.1850000,0.1850000,inf,nan,3346233.3201657,2572.1863314,1620.0663632,11666.5331765,102.9999011,8194.4765577,191015.0763355,2309025.6456485,18214293.9402023
0.1875000,0.1875000,0.1875000,inf,nan,2358853.3859005,2337.5781535,1476.1599500,10602.8219296,93.6763659,7450.4797122,173528.4934677,2095258.0958343,16513625.5695760
0.1900000,0.1900000,0.1900000,inf,nan,1760477.6849528,2124.8597709,1345.6190849,9638.9861482,85.2539014,6776.2753889,157716.5218789,1902281.2687083,14980162.1776339
0.1925000,0.1925000,0.1925000,inf,nan,1422339.1628759,1931.8834570,1227.1412628,8765.1215162,77.6356522,6164.9499849,143408.9688403,1727947.0230083,13596438.4603936
0.1950000,0.1950000,0.1950000,1769.1275336,0.4177697,1275916.3670959,1756.7318253,1119.5631059,7972.3938939,70.7373266,5610.3364521,130454.3386175,1570345.7507895,12346942.1517650
0.1975000,0.1975000,0.1975000,1610.0866715,0.4115563,1292438.7075071,1597.6909632,1021.8441103,7252.9149294,64.4855711,5106.9275099,118717.6699309,1427778.8384496,11217888.7276608
0.2000000,0.2000000,0.2000000,1465.6224250,0.4056984,1435377.2874244,1453.2267166,933.0523158,6599.6319782,58.8164302,4649.7988517,108078.6135264,1298734.1283389,10197020.3836399
0.2025000,0.2025000,0.2025000,1334.3595198,0.4001852,1182362.6746635,1321.9638115,852.3517032,6006.2309762,53.6739186,4234.5413979,98429.7293772,1181864.1400794,9273427.4104109
0.2050000,0.2050000,0.2050000,1215.0632202,0.3950055,1110419.1350898,1202.6675119,778.9911320,5467.0509533,49.0087422,3857.2016732,89674.9829786,1075966.8053810,8437390.0262173
0.2075000,0.2075000,0.2075000,1106.6232414,0.3901487,922148.3063774,1094.2275331,712.2946451,4977.0089351,44.7771946,3514.2294349,81728.4207238,979968.4730831,7680238.7315740
0.2100000,0.2100000,0.2100000,1008.0396544,0.3856039,778163.5817632,995.6439461,651.6529792,4531.5340618,40.9402330,3202.4317323,74513.0052842,892908.9500436,6994231.3103001
0.2125000,0.2125000,0.2125000,918.4105443,0.3813607,728464.9872071,906.0148360,596.5161338,4126.5098453,37.4627171,2918.9326430,67959.5931233,813928.3564497,6372444.6952597
0.2150000,0.2150000,0.2150000,836.9212043,0.3774086,764305.8234174,824.5254960,546.3868677,3758.2235777,34.3127760,2661.1379969,62006.0376412,742255.5896287,5808680.0349005
0.2175000,0.2175000,0.2175000,762.8346708,0.3737372,891953.7366703,750.4389624,500.8150028,3423.3220045,31.4612627,2426.7044690,56596.4028908,677198.2073238,5297379.4275933
0.2200000,0.2200000,0.2200000,695.4834268,0.3703365,1134180.5738865,683.0877185,459.3924311,3118.7724650,28.8812805,2213.5124845,51680.2742628,618133.5587786,4833552.9273179
0.2225000,0.2225000,0.2225000,634.2621202,0.3671963,1040985.6387771,621.8664119,421.7487320,2841.8287950,26.5477973,2019.6424436,47212.1539572,564501.0091899,4412714.5607620
0.2250000,0.2250000,0.2250000,578.6211626,0.3643067,658655.2706041,566.2254542,387.5473182,2590.0013688,24.4373912,1843.3538318,43150.9304134,515795.1196753,4030826.2283633
0.2275000,0.2275000,0.2275000,528.0610905,0.3616580,426481.9921530,515.6653822,356.4820398,2361.0307351,22.5281476,1683.0668344,39459.4121390,471559.6605500,3684248.4874571
0.2300000,0.2300000,0.2300000,482.1275891,0.3592405,281998.2996084,469.7318808,328.2741846,2152.8643695,20.7996512,1537.3461250,36103.9175394,431382.3502150,3369697.3327446
0.2325000,0.2325000,0.2325000,440.4070871,0.3570445,190060.1861421,428.0113788,302.6698219,1963.6361310,19.2329001,1404.8865362,33053.9134140,394890.2252332,3084206.1967795
0.2350000,0.2350000,0.2350000,402.5228495,0.3550607,130355.9061019,390.1271414,279.4374445,1791.6480652,17.8099448,1284.5003672,30281.6957328,361745.5591688,2825092.4906911
0.2375000,0.2375000,0.2375000,368.1315007,0.3532797,90854.1720874,355.7357932,258.3658684,1635.3542437,16.5132974,1175.1061099,27762.1071586,331642.2585085,2589928.0929446
0.2400000,0.2400000,0.2400000,336.9199222,0.3516922,64266.3261739,324.5242175,239.2623579,1493.3463774,15.3255966,1075.7184111,25472.2865276,304302.6735202,2376513.2719188
0.2425000,0.2425000,0.2425000,308.6024753,0.3502892,46084.5607296,296.2067812,221.9509461,1364.3409726,14.2301080,985.4391100,23391.4461597,279474.7703082,2182853.5969822
0.2450000,0.2450000,0.2450000,282.9185037,0.3490616,33467.2306572,270.5228467,206.2709277,1247.1678362,13.2119349,903.4492160,21500.6734410,256929.6176831,2007139.4532416
0.2475000,0.2475000,0.2475000,259.6300694,0.3480009,24591.0961180,247.2345337,204.4644525,1140.7597631,12.2587134,829.0017105,19782.7536210,236459.1488701,1847727.8279353
0.2500000,0.2500000,0.2500000,238.5198714,0.3470990,18267.0056354,226.1247013,191.6110748,1044.1432593,11.3594710,761.4150707,18222.0111917,217874.1636322,1703126.0823021
0.2525000,0.2525000,0.2525000,219.3892763,0.3463480,13707.4466192,206.9951253,179.9763667,956.4301810,10.5022935,700.0674320,16804.1675893,201002.5411705,1571977.4624131
0.2550000,0.2550000,0.2550000,202.0563663,0.3457400,10383.4112132,202.0563663,169.4397308,876.8101810,9.6737544,644.3913131,15516.2132699,185687.6382850,1453048.1366248
0.2575000,0.2575000,0.2575000,186.3538890,0.3452634,7934.7757660,186.3538890,159.8840392,804.5438728,8.8623038,593.8688424,14346.2924838,171786.8508044,1345215.5766517
0.2600000,0.2600000,0.2600000,172.1270016,0.3448945,6113.3044407,172.1270016,151.1925776,738.9566329,8.0636940,548.0274286,13283.5993012,159170.3193104,1247458.1243985
0.2625000,0.2625000,0.2625000,159.2308024,0.3445810,4745.8673000,159.2308024,143.2480122,679.4329741,7.2836237,506.4358302,12318.2836370,147719.7627559,1158845.6081719
0.2650000,0.2650000,0.2650000,147.5279012,0.3442156,3710.3756453,147.5279012,135.9365609,625.4114287,6.5351149,468.7005813,11441.3661894,137327.4257684,1078530.8902333
0.2675000,0.2675000,0.2675000,136.8861112,0.3436360,2919.8331513,136.8861112,129.1587105,576.3798929,5.8329222,434.4627379,10644.6613477,127895.1272976,1005742.2432798
0.2700000,0.2700000,0.2700000,127.1584878,0.3434260,2311.6364110,127.1584878,122.8395114,531.8713831,5.1888406,403.3949137,9920.7072438,119333.3998537,939776.4667573
0.2725000,0.2725000,0.2725000,117.8770673,0.3555760,1840.3142160,117.8770673,116.9225347,491.4601685,4.6096784,375.1985769,9262.7022244,111560.7099349,879992.6652502
0.2750000,0.2750000,0.2750000,107.2988178,0.4013126,1472.5465994,107.2988178,111.3390771,454.7582405,4.0973880,349.6015835,8664.4471073,104502.7513973,825806.6208531
0.2775000,0.2775000,0.2775000,95.6338624,0.4195030,1183.7125127,95.6338624,105.9777979,395.3668722,3.6501766,314.8560569,8120.2926591,98091.8045001,776685.6996699
0.2800000,0.2800000,0.2800000,84.8507972,0.4174228,955.4735550,84.8507972,100.7182389,342.0010640,3.2637754,277.0984474,7625.0917950,92266.1542006,732144.2396151
0.2825000,0.2825000,0.2825000,75.3333956,0.4117662,774.0670932,75.3333956,95.5342245,295.2809805,2.9325283,243.9794812,7089.2198114,86969.5619958,691739.3727080
0.2850000,0.2850000,0.2850000,66.9884898,0.4055366,629.0898338,66.9884898,90.5193835,254.3439390,2.6502188,214.8981444,6304.8877214,82150.7862225,655067.2402017
0.2875000,0.2875000,0.2875000,59.6747948,0.3993374,512.6236172,59.6747948,85.7890026,218.4455099,2.4106335,201.7314908,5613.4606157,73494.5215383,605195.9933174
0.2900000,0.2900000,0.2900000,53.2564201,0.3936235,418.6021095,53.2564201,81.4075438,199.3381526,2.2078846,179.2399282,5003.1826284,65574.3508436,539982.1131385
0.2925000,0.2925000,0.2925000,47.6033290,0.3893644,342.3484929,47.6033290,77.3884592,171.6738897,2.0365481,159.4313604,4463.8788603,58573.9107515,482347.8535408
0.2950000,0.2950000,0.2950000,42.5846244,0.3883883,280.2355124,42.5846244,73.7163503,147.3662387,1.8916994,141.9697838,3986.7307754,52378.8870543,431350.3084001
0.2975000,0.2975000,0.2975000,38.0689846,0.3929044,229.4337450,38.0689846,70.3637178,125.9968635,1.7689231,126.5636881,3564.0850752,46890.0813249,386171.3414122
0.3000000,0.3000000,0.3000000,33.9422859,0.4037099,200.1196537,33.9422859,67.2998238,107.2010387,1.6643293,112.9597864,3189.2908574,42021.2969669,346100.1273245
0.3025000,0.3025000,0.3025000,30.1342780,0.4186218,165.7519685,30.1342780,64.4947447,90.6327540,1.5745746,100.9373688,2856.5606909,37697.5359560,310518.2601721
0.3050000,0.3050000,0.3050000,26.6257134,0.4336693,137.3396611,26.6257134,61.9209704,75.6712784,1.4968698,90.3022637,2560.8519447,33853.4586169,278887.0346733
0.3075000,0.3075000,0.3075000,23.4256209,0.4458311,113.7784131,23.4256209,59.5537088,60.7479903,1.4289592,80.8785683,2297.7652828,30432.0663557,250736.5695337
0.3100000,0.3100000,0.3100000,20.5431828,0.4541126,94.1846988,20.5431828,57.3702740,45.7349527,1.3690686,72.4971634,2063.4577302,27383.5735994,225656.4937650
0.3125000,0.3125000,0.3125000,17.9748110,0.4588592,77.8484653,17.9748110,55.3484715,32.0889030,1.3158305,64.9857672,1854.5681189,24664.4405008,203287.9609731
0.3150000,0.3150000,0.3150000,15.7045275,0.4608564,64.1965957,15.7045275,53.4638116,20.1369425,1.2682024,58.1747189,1668.1530688,22236.5424073,183316.7933033
0.3175000,0.3175000,0.3175000,13.7088226,0.4608610,52.7645173,13.7088226,51.6859733,9.7440637,1.2253942,51.9287469,1501.6319411,20066.4558254,165467.5875469
0.3200000,0.3200000,0.3200000,11.9610990,0.4594636,43.1739180,11.9610990,49.9765209,0.7222107,1.1868139,46.1797353,1352.7394461,18124.8437377,149498.6417752
0.3225000,0.3225000,0.3225000,10.4345445,0.4570918,35.1148356,10.4345445,48.2918433,-7.1031877,1.1520227,40.9178173,1219.4847872,16385.9257611,135197.5826054
0.3250000,0.3250000,0.3250000,9.1036886,0.4540476,28.3303028,9.1036886,46.5944877,-13.8854985,1.1206840,36.1502523,1100.1163941,14827.0208462,122377.5914776
0.3275000,0.3275000,0.3275000,7.9451177,0.4505456,22.6017602,7.9451177,44.8686064,-19.7581068,1.0924964,31.8718538,993.0914425,13428.1520797,110874.1437182
0.3300000,0.3300000,0.3300000,6.9377115,0.4467409,17.7352286,6.9377115,43.1268266,-24.8370426,1.0671209,28.0595989,897.0494758,12171.7047233,100542.1871332
0.3325000,0.3325000,0.3325000,6.0626284,0.4427475,13.5527155,6.0626284,41.4012740,-29.2241066,1.0441351,24.6786055,810.7895491,11042.1299434,91253.6978206
0.3350000,0.3350000,0.3350000,5.3031682,0.4386513,9.8966380,5.3031682,39.7263964,-33.0116639,1.0230403,21.6889549,733.2504002,10025.6878092,82895.5601378
0.3375000,0.3375000,0.3375000,4.6445868,0.4345173,6.6476260,4.6445868,38.1228278,-36.2932421,1.0033201,19.0502454,663.4932249,9110.2240790,75367.7255729
0.3400000,0.3400000,0.3400000,4.0739008,0.4303941,3.7380855,4.0739008,36.5774300,-39.1886115,0.9845113,16.7240377,600.6866978,8284.9760977,68581.6118930
0.3425000,0.3425000,0.3425000,3.5797022,0.4263167,1.1427571,3.5797022,35.0045391,-41.8855547,0.9662196,14.6749588,544.0939292,7540.4038070,62458.7095450
0.3450000,0.3450000,0.3450000,3.1519906,0.4223079,-1.1461787,3.1519906,33.2103265,-44.6369467,0.9480196,12.8710615,493.0610942,6868.0424455,56929.3670498
0.3475000,0.3475000,0.3475000,2.7820252,0.4183802,-3.1383265,2.7820252,31.0010075,-47.5909078,0.9292269,11.2838019,447.0075097,6260.3740057,51931.7311711
0.3500000,0.3500000,0.3500000,2.4621918,0.4145376,-4.8512512,2.4621918,28.4330363,-50.6340374,0.9086483,9.8878347,405.4169630,5710.7149312,47410.8210793
0.3525000,0.3525000,0.3525000,2.1858803,0.4107775,-6.3088927,2.1858803,25.7674498,-53.5494916,0.8845126,8.6607338,366.7876520,5178.6881240,43041.2206389
0.3550000,0.3550000,0.3550000,1.9473689,0.4070941,-7.5381177,1.9473689,23.2148639,-56.2000036,0.8547346,7.5826901,330.3679296,4698.0742976,39090.0043425
0.3575000,0.3575000,0.3575000,1.7417120,0.4034818,-8.5659658,1.7417120,20.8693118,-58.5379921,0.8174580,6.6362174,297.7307083,4266.5427214,35541.8518669
0.3600000,0.3600000,0.3600000,1.5646303,0.3999383,-9.4180257,1.5646303,18.7556807,-60.5628183,0.7716275,5.8058779,268.4538039,3878.6321279,32351.8611900
0.3625000,0.3625000,0.3625000,1.4124057,0.3964676,-10.1176862,1.4124057,16.8696148,-62.2926125,0.7173162,5.0780323,242.1654792,3529.5340998,29480.5057698
0.3650000,0.3650000,0.3650000,1.2817830,0.3930817,-10.6859266,1.2817830,15.1961450,-63.7515719,0.6556908,4.4406185,218.5380463,3215.0101858,26892.9512548
0.3675000,0.3675000,0.3675000,1.1698830,0.3898018,-11.1413986,1.1698830,13.7171974,-64.9648378,0.5886968,3.8829568,202.7584820,2931.3200994,24558.4636452
0.3700000,0.3700000,0.3700000,1.0741291,0.3866567,-11.5006375,1.0741291,12.4145083,-65.9565613,0.5186334,3.3955813,183.6194399,2675.1594493,22449.8960928
0.3725000,0.3725000,0.3725000,0.9921937,0.3836806,-11.7783148,0.9921937,11.2707225,-66.7493453,0.4477699,2.9700964,166.3703968,2443.6056747,20543.2434001
0.3750000,0.3750000,0.3750000,0.9219619,0.3809092,-11.9874855,0.9219619,10.2697620,-67.3644398,0.3780773,2.5990544,150.8113724,2234.0710548,18817.2548630
0.3775000,0.3775000,0.3775000,0.8615147,0.3783737,-12.1398147,0.8615147,9.3968941,-67.8225758,0.3110852,2.2758525,136.7650781,2044.2618213,17253.0974518
